..\imagens_para_conversao\sprite10: .word 16, 16
.byte 199,199,199,199,199,199,199,199,199,199,148,157,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,166,166,156,199,199,199,
199,199,199,199,199,199,74,74,199,199,166,167,93,199,199,199,
199,199,199,199,199,74,10,10,74,199,148,93,84,199,199,199,
199,199,199,199,74,10,18,10,10,74,83,102,75,65,199,199,
199,199,199,199,74,18,10,10,10,1,10,102,92,65,73,199,
199,199,83,92,10,10,10,10,10,0,10,93,93,9,73,199,
199,83,93,102,93,10,10,10,10,9,83,102,93,0,199,199,
199,84,102,102,101,92,10,10,84,93,102,102,83,0,199,199,
199,83,102,102,92,102,93,93,102,102,166,93,9,0,199,199,
199,83,83,93,93,102,92,93,102,102,93,10,0,74,199,199,
199,199,83,83,102,102,92,92,102,102,83,1,0,74,199,199,
199,199,199,74,10,93,83,102,84,83,18,0,73,199,199,199,
199,199,199,74,74,74,10,83,11,83,18,74,199,199,199,199,
199,199,199,84,19,19,74,83,83,74,73,199,199,199,199,199,
199,199,199,84,83,1,74,199,75,74,199,199,199,199,199,199,


